coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,SourceFile,price_ma7,price_ma30,volatility_7d,volume_change_pct,price_change_pct,liquidity_ratio,liquidity_ratio_7d
yearn.finance,YFI,0.4699537354123456,0.8760951188986233,0.5445625511038429,0.0985288424312814,0.0013773209043047,0.0008069303153003,2022-03-17,coin_gecko_2022-03-17.csv,0.06775620735991199,0.01616553140842451,0.17735542512022462,26.728679907759393,2441.649432992422,1.706864741836014,0.9375350637546055
Neutrino USD,USDN,2.4261674742554175e-05,0.8798498122653317,0.525756336876533,0.1095625241966705,0.0001047323075625,0.0007992455454793,2022-03-17,coin_gecko_2022-03-17.csv,0.0673604994442737,0.016165651792428595,0.17752752890274534,-0.9239594002856066,-0.9999483743336538,0.1310389631257726,0.8053545569075242
Nexus Mutual,NXM,0.0023092262053871,0.8886107634543179,0.552739165985282,0.1147890050329074,3.727449991610186e-07,0.0007596273122618,2022-03-17,coin_gecko_2022-03-17.csv,0.06768051093460288,0.016242521870594048,0.17738797691759906,-0.9964409740620049,94.18000013975924,0.0004906945723833515,0.5891005694551216
XDC Network,XDC,1.2688617034073798e-06,0.8961201501877347,0.5560098119378577,0.0971738288811459,0.0001647088477309,0.0007457460853046,2022-03-17,coin_gecko_2022-03-17.csv,0.06749755121552295,0.016240776889276675,0.17746851721862275,440.88077130915167,-0.999450525158407,0.22086451538478363,0.5898922504731748
Smooth Love Potion,SLP,4.166180021869624e-07,0.8848560700876096,0.5592804578904332,0.0956252419667053,0.0040958176690251,0.0007436601102097,2022-03-17,coin_gecko_2022-03-17.csv,0.06749734330610997,0.01613162132726603,0.1774686094714094,23.867016711311187,-0.6716600390190803,5.507647395353969,1.2222840722755488
WAX,WAXP,6.717038719837825e-06,0.8823529411764707,0.5363859362224038,0.100271002710027,0.0003535092937182,0.0007222422091441,2022-03-17,coin_gecko_2022-03-17.csv,0.06749828869883696,0.016131824909299087,0.1774681899966779,-0.9136901780585502,15.12277598322185,0.48946086124920546,1.1595425116310587
Qtum,QTUM,0.0001448421983919,0.8848560700876096,0.5306623058053965,0.105497483546264,0.0010633308169738,0.0007158817879772,2022-03-17,coin_gecko_2022-03-17.csv,0.06749149542989895,0.01613648858951533,0.17747119666813982,2.0079288886289772,20.563400842714966,1.4853441375822034,1.363101615586333
Sushi,SUSHI,7.787997600316847e-05,0.8961201501877347,0.5511038430089941,0.1097560975609755,0.0023941632179979,0.0007117825390145,2022-03-17,coin_gecko_2022-03-17.csv,0.00036637322470718084,0.016134038160362695,0.0008583511687210805,1.251569483156333,-0.4623115579035305,3.3636161141473684,1.5997803830593837
PAX Gold,PAXG,0.0472139469692821,0.8785982478097623,0.5322976287816843,0.1033681765389082,0.0003804069865077,0.0007113098360669,2022-03-17,coin_gecko_2022-03-17.csv,0.0071077568382128305,0.01762946309591363,0.017705342671270812,-0.8411106712992558,605.2398756692124,0.5347978717841348,1.6574602271534353
1inch,1INCH,3.614989538404784e-05,0.8911138923654569,0.525756336876533,0.1248548199767711,0.0011071923058204,0.0007109879272448,2022-03-17,coin_gecko_2022-03-17.csv,0.006783031651069538,0.01761634561708336,0.01782843495670273,1.9105467173063837,-0.9992343386286352,1.557258939840174,1.8798556907631199
renBTC,RENBTC,0.9912017462583036,0.8836045056320401,0.5355682747342599,0.102981029810298,0.0001773601706137,0.000705884228171,2022-03-17,coin_gecko_2022-03-17.csv,0.14838309985058387,0.05064127262785778,0.37206345263536933,-0.839810871443619,27418.214792408482,0.25125957421269174,1.8841978420242493
Livepeer,LPT,0.0005961093492731,0.8973717146433041,0.5543744889615698,0.1035617499032132,0.0001941000086675,0.0007050976871562,2022-03-17,coin_gecko_2022-03-17.csv,0.148468198812194,0.05066022099585984,0.3720239239410577,0.094383299225959,-0.9993985993754315,0.275281017372705,1.136716930884069
Marinade staked SOL,MSOL,0.0022735615434627,0.8973717146433041,0.5756336876533114,0.1132404181184668,0.0002438711925645,0.000698555438825,2022-03-17,coin_gecko_2022-03-17.csv,0.14879203374144295,0.05073519802207562,0.37187411091643674,0.25642030744192157,2.8140008141712545,0.3491078574589609,1.1166665017711768
Bancor Network Token,BNT,5.628708545025139e-05,0.8873591989987485,0.5388389206868356,0.1101432442895857,0.0003122042919529,0.0006825941451893,2022-03-17,coin_gecko_2022-03-17.csv,0.14877938301102273,0.05073345118149157,0.3718800119838687,0.28020160425601315,-0.9752427702640833,0.4573790943757921,0.9698143527416896
Ankr,ANKR,1.7646314976465598e-06,0.8823529411764707,0.5339329517579721,0.0983352690669763,0.0003672645267441,0.0006815153366596,2022-03-17,coin_gecko_2022-03-17.csv,0.14876850939037906,0.05072839887638935,0.3718850856955892,0.17635963441369507,-0.968649442700205,0.5388940013356435,0.5662826223400146
Pocket Network,POKT,1.6934066679234827e-05,0.8773466833541927,0.5282093213409648,0.0927216415021292,1.876167394782504e-05,0.0006726157887027,2022-03-17,coin_gecko_2022-03-17.csv,0.14202607897572153,0.05072838474962485,0.374452173451288,-0.9489150936679009,8.59637561826326,0.027893597300193328,0.49386772598516576
Zilliqa,ZIL,1.0083846623029983e-06,0.8836045056320401,0.5388389206868356,0.108207510646535,0.0005207135427983,0.0006694270428094,2022-03-17,coin_gecko_2022-03-17.csv,0.14202105875990415,0.050728339259176296,0.37445439458722224,26.754108948187117,-0.9404523035485908,0.7778495780705383,0.38252353144664636
OMG Network,OMG,0.0001002007167994,0.8848560700876096,0.5322976287816843,0.1151761517615175,0.0013025842630501,0.0006613870218839,2022-03-17,coin_gecko_2022-03-17.csv,0.00043512368254639244,0.05073004566363572,0.0008379140197749411,1.5015371331616394,98.36755342009734,1.9694735759099244,0.6279826745462511
Gnosis,GNO,0.0074289248171586,0.8823529411764707,0.5486508585445625,0.1031746031746031,2.0581990790660245e-05,0.0006518351538333,2022-03-17,coin_gecko_2022-03-17.csv,0.0014112401779586069,0.050975953911966264,0.0027817953874105924,-0.9841991098967633,73.14043586166326,0.031575453808561964,0.5931675940370879
Render Token,RNDR,5.968371991924959e-05,0.8823529411764707,0.5372035977105477,0.0938830816879597,0.0003441824569457,0.0006482323226681,2022-03-17,coin_gecko_2022-03-17.csv,0.0010949719174523993,0.0509777589344726,0.0027932430643176167,15.72250563351161,-0.9919660352758722,0.5309554073592904,0.6191458154514206
Fei USD,FEI,2.4261674742554175e-05,0.8836045056320401,0.5306623058053965,0.1097560975609755,0.0001037065194945,0.0006379874392591,2022-03-17,coin_gecko_2022-03-17.csv,0.0010903968587798712,0.05097232431932221,0.0027952533762204295,-0.6986873752520708,-0.5934959353173772,0.16255260388031342,0.577027745380638
ICON,ICX,1.8081279971138963e-05,0.8836045056320401,0.5192150449713818,0.0882694541231126,0.0004692337017366,0.0006212255017279,2022-03-17,coin_gecko_2022-03-17.csv,0.0010927278085617988,0.05096910177126569,0.0027942008745680314,3.5246306984729676,-0.25473900037803265,0.7553355431022322,0.6079479656330077
SafeMoon,SFM,2.3341445830838253e-08,0.8961201501877347,0.4758789860997546,0.078590785907859,5.35593623235723e-06,0.0006164424202585,2022-03-17,coin_gecko_2022-03-17.csv,0.0010903119906713126,0.050862909198809335,0.0027952931029610432,-0.9885857810030795,-0.998709082218289,0.008688461495091889,0.6052043748037076
